,parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
0,10754147,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34144442.0,-118654084.0,85768.0,,,,,,010D,269.0,,60378002.041,37688.0,3101.0,,96337.0,0.0,,,,,,,,,,,9.0,2015.0,9.0,,,,
1,10759547,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34140430.0,-118625364.0,4083.0,,,,,,0109,261.0,LCA11*,60378001.011002,37688.0,3101.0,,96337.0,0.0,,,,,,,,,,,27516.0,2015.0,27516.0,,,,
2,10843547,,,,0.0,0.0,,,,,,73026.0,,,73026.0,,,6037.0,,,,,,,33989359.0,-118394633.0,63085.0,,,,,,1200,47.0,LAC2,60377030.012017,51617.0,3101.0,,96095.0,0.0,,,,2.0,,,,,,650756.0,1413387.0,2015.0,762631.0,20800.37,,,
3,10859147,,,,0.0,0.0,3.0,7.0,,,,5068.0,,,5068.0,,,6037.0,,,,,,,34148863.0,-118437206.0,7521.0,,,,,,1200,47.0,LAC2,60371412.023001,12447.0,3101.0,27080.0,96424.0,0.0,,,,,,,1948.0,1.0,,571346.0,1156834.0,2015.0,585488.0,14557.57,,,
4,10879947,,,,0.0,0.0,4.0,,,,,1776.0,,,1776.0,,,6037.0,,,,,,,34194168.0,-118385816.0,8512.0,,,,,,1210,31.0,LAM1,60371232.052003,12447.0,3101.0,46795.0,96450.0,0.0,,,,1.0,,,1947.0,,,193796.0,433491.0,2015.0,239695.0,5725.17,,,
5,10898347,,,,0.0,0.0,4.0,7.0,,,,2400.0,,,2400.0,,,6037.0,,,,,,,34171873.0,-118380906.0,2500.0,,,,,,1210,31.0,LAC4,60371252.001,12447.0,3101.0,46795.0,96446.0,0.0,,,,,,,1943.0,1.0,,176383.0,283315.0,2015.0,106932.0,3661.28,,,
6,10933547,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34131929.0,-118351474.0,,,,,,,010V,260.0,LAC2,60371437.00101,12447.0,3101.0,274049.0,96049.0,0.0,,,,,,,,,,397945.0,554573.0,2015.0,156628.0,6773.34,,,
7,10940747,,,,0.0,0.0,,,,,,3611.0,,,3611.0,,,6037.0,,,,,,,34171345.0,-118314900.0,5333.0,,,,,,1210,31.0,BUC4YY,60373108.003004,396054.0,3101.0,,96434.0,0.0,,,,,,,1946.0,1.0,,101998.0,688486.0,2015.0,586488.0,7857.84,,,
8,10954547,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34218210.0,-118331311.0,145865.0,,,,,,010D,269.0,BUR1*,60373101.003001,396054.0,3101.0,,96436.0,0.0,,,,,,,,,,,9.0,2015.0,9.0,,,,
9,10976347,,,,0.0,0.0,3.0,7.0,,,,3754.0,,,3754.0,,,6037.0,,,,,,,34289776.0,-118432085.0,7494.0,,,,,,1210,31.0,SFC2*,60373202.023005,47547.0,3101.0,,96366.0,0.0,,,,,,,1978.0,1.0,,218440.0,261201.0,2015.0,42761.0,4054.76,,,
10,11073947,,,,0.0,0.0,4.0,,,,,2470.0,,,2470.0,,,6037.0,,,,,,,34265214.0,-118520217.0,3423.0,,,,,,1200,47.0,LAC2,60371112.022021,12447.0,3101.0,31817.0,96370.0,0.0,,,,,,,1958.0,1.0,,245834.0,430208.0,2015.0,184374.0,6014.18,,,
11,11114347,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34447747.0,-118565056.0,81293.0,,,,,,010D,269.0,SCUR3,60379201.081013,,3101.0,,96377.0,0.0,,,,,,,,,,,9.0,2015.0,9.0,,,,
